KDTK,PRDCD,QTY
TLY1,10005838,180
TLY1,20049363,100
TLY1,20043713,180
TLY1,10000053,72
TLY1,10004067,72
TLY1,10014404,48
TLY1,10000861,72
TLY1,20016245,48
TLY1,20087155,48
TLY1,10000861,48
TLY1,20016246,48
TLY1,20085461,40
TLY1,20025487,40
TLY1,10010804,120
TLY1,20078206,36
TLY1,10010805,120
TLY1,20090354,30
TLY1,20080198,40
TLY1,20072013,30
TLY1,20067874,30
TLY1,20092043,30
TLY1,20090009,30
TLY1,10014292,72
TLY1,10004715,24
TLY1,10014293,24
TLY1,20047217,24
TLY1,20037607,16
TLY1,10008095,12
TLY1,10007379,12
TLY1,20052321,12
TLY1,20093521,12
TLY1,20090356,12
TLY1,20023435,12
TLY1,20087713,12
TLY1,20101065,10
TLY1,20098166,10
TLY1,20087474,9
TLY1,10003696,6
TLY1,10000341,6
TLY1,20029228,6
TLY1,20001605,6
TLY1,20001604,6
TLY1,20067245,3
TLY1,20034034,3
TLY1,20067242,2
TLY1,20014506,2
TLY1,10003272,2
FOJ4,10005838,120
FOJ4,20049363,100
FOJ4,20043713,72
FOJ4,10000053,72
FOJ4,10004067,72
FOJ4,10014404,48
FOJ4,10000861,48
FOJ4,20016245,48
FOJ4,20087155,48
FOJ4,10000861,48
FOJ4,20016246,48
FOJ4,20085461,40
FOJ4,20025487,40
FOJ4,10010804,36
FOJ4,20078206,36
FOJ4,10010805,30
FOJ4,20090354,30
FOJ4,20080198,30
FOJ4,20072013,30
FOJ4,20067874,30
FOJ4,20092043,30
FOJ4,20090009,30
FOJ4,10014292,24
FOJ4,10004715,24
FOJ4,10014293,24
FOJ4,20047217,24
FOJ4,20037607,16
FOJ4,10008095,12
FOJ4,10007379,12
FOJ4,20052321,12
FOJ4,20093521,12
FOJ4,20090356,12
FOJ4,20023435,12
FOJ4,20087713,12
FOJ4,20101065,10
FOJ4,20098166,10
FOJ4,20087474,9
FOJ4,10003696,6
FOJ4,10000341,6
FOJ4,20029228,6
FOJ4,20001605,6
FOJ4,20001604,6
FOJ4,20067245,3
FOJ4,20034034,3
FOJ4,20067242,2
FOJ4,20014506,2
FOJ4,10003272,2
FOJ4,10008989,150
